id,text,intent,source,created_at
1,"Tôi muốn biết lịch trình hôm nay","intent.daily_schedule","web_ui","2023-10-27 10:00:00"
2,"Có cuộc họp nào vào ngày mai không","intent.daily_schedule","phone","2023-10-27 10:01:00"
3,"Cho tôi xem các cuộc họp trong tuần này","intent.daily_schedule","app_desktop","2023-10-27 10:02:00"
4,"","intent.daily_schedule","phone","2023-10-27 10:03:00"
5,"Lịch làm việc hôm nay thế nào?","intent.daily_schedule","web_ui","2023-10-27 10:04:00"
6,"Tạo một cuộc họp với đội marketing vào 2h chiều nay","intent.create_meeting","app_desktop","2023-10-27 10:05:00"
7,"Đặt lịch họp với team kỹ thuật ngày mai","intent.create_meeting","phone","2023-10-27 10:06:00"
8,"Tạo lịch họp dự án mới","intent.create_meeting","web_ui","2023-10-27 10:07:00"
9,"Thêm cuộc họp vào 3h chiều","","app_desktop","2023-10-27 10:08:00"
10,"Đặt lịch họp với khách hàng","intent.create_meeting","phone","2023-10-27 10:09:00"
11,"Hủy cuộc họp với An sáng nay","intent.cancel_meeting","phone","2023-10-27 10:10:00"
12,"Xóa cuộc họp chiều nay","intent.cancel_meeting","web_ui","2023-10-27 10:11:00"
13,"Tôi không thể tham gia cuộc họp ngày mai,hủy nó đi","","app_desktop","2023-10-27 10:12:00"
14,"Hủy lịch họp với team sales","intent.cancel_meeting","phone","2023-10-27 10:13:00"
15,"Xóa cuộc họp mà tôi đã tạo lúc 10h sáng","intent.cancel_meeting","web_ui","2023-10-27 10:14:00"
16,"Chuyển cuộc họp với Team HR sang 4h chiều","intent.reschedule_meeting","app_desktop","2023-10-27 10:15:00"
17,"Dời cuộc họp với team kỹ thuật sang ngày mai","intent.reschedule_meeting","","2023-10-27 10:16:00"
18,"Thay đổi lịch họp với khách hàng","intent.reschedule_meeting","web_ui","2023-10-27 10:17:00"
19,"Dời cuộc họp 1 tiếng","intent.reschedule_meeting","phone","2023-10-27 10:18:00"
19,"Dời cuộc họp 1 tiếng","intent.reschedule_meeting","phone","2023-10-27 10:18:00"
20,"Chuyển cuộc họp sang đầu tuần sau","intent.reschedule_meeting","app_desktop","2023-10-27 10:19:00"
21,"Hôm nay có bao nhiêu email chưa đọc?","intent.check_email_status","phone","2023-10-27 10:20:00"
22,"Đã đọc hết email chưa?","intent.check_email_status","web_ui",""
23,"Số lượng email chưa đọc?","intent.check_email_status","app_desktop","2023-10-27 10:22:00"
24,"Còn email nào chưa xử lý không?","intent.check_email_status","phone","2023-10-27 10:23:00"
25,"Tôi có bao nhiêu email chưa đọc từ hôm qua?","intent.check_email_status","web_ui","2023-10-27 10:24:00"
26,"Gửi email cho tôi với tiêu đề 'Báo cáo hàng tuần'","intent.send_email","app_desktop","2023-10-27 10:25:00"
27,"Soạn email cho team marketing","intent.send_email","web_ui","2023-10-27 10:26:00"
27,"Soạn email cho team marketing","intent.send_email","web_ui","2023-10-27 10:26:00"
28,"","intent.send_email","phone","2023-10-27 10:27:00"
29,"Soạn email thông báo họp","intent.send_email","app_desktop","2023-10-27 10:28:00"
30,"Gửi email cho tôi và đính kèm file báo cáo","intent.send_email","","2023-10-27 10:29:00"
31,"Đọc email mới nhất của tôi","intent.read_emails","phone","2023-10-27 10:30:00"
32,"Cho tôi nghe email từ chị Lan","intent.read_emails","phone","2023-10-27 10:31:00"
33,"Đọc email gần đây nhất","intent.read_emails","app_desktop","2023-10-27 10:32:00"
34,"Có email quan trọng nào không?","intent.read_emails","web_ui","2023-10-27 10:33:00"
35,"Đọc email từ CEO","intent.read_emails","phone","2023-10-27 10:34:00"
36,"Tìm kiếm file báo cáo tháng 10","intent.search_file","app_desktop","2023-10-27 10:35:00"
37,"Tìm file 'hợp đồng dự án' trong Google Drive","","web_ui","2023-10-27 10:36:00"
38,"Có file 'kế hoạch marketing' ở đâu?","intent.search_file","phone","2023-10-27 10:37:00"
39,"Tìm file PDF về dự án X","intent.search_file","app_desktop","2023-10-27 10:38:00"
40,"Tìm tài liệu của team Kế hoạch","intent.search_file","web_ui","2023-10-27 10:39:00"
40,"Tìm tài liệu của team Kế hoạch","intent.search_file","web_ui","2023-10-27 10:39:00"
41,"Tạo tài liệu mới tên 'Báo cáo dự án'","intent.create_document","app_desktop","2023-10-27 10:40:00"
42,"Tạo một file Google Docs mới","intent.create_document","web_ui","2023-10-27 10:41:00"
43,"Soạn một tài liệu cho cuộc họp sáng nay","intent.create_document","phone","2023-10-27 10:42:00"
44,"Tạo tài liệu mới và chia sẻ với team","intent.create_document","app_desktop","2023-10-27 10:43:00"
45,"Tạo một file word về kế hoạch dự án","intent.create_document","web_ui","2023-10-27 10:44:00"
46,"Mở file 'Báo cáo dự án'","intent.open_file","app_desktop","2023-10-27 10:45:00"
47,"Mở file báo cáo tháng 10","intent.open_file","web_ui","2023-10-27 10:46:00"
48,"Mở kế hoạch dự án Mây trắng","intent.open_file","","2023-10-27 10:47:00"
49,"Mở file báo cáo tháng 11","intent.open_file","app_desktop","2023-10-27 10:48:00"
50,"Mở slide thuyết trình","intent.open_file","phone","2023-10-27 10:49:00"
